id,name,type,lat,lon
573,Toscano,restaurant,12.971789,77.596237
574,Cafe Noir,restaurant,12.971938,77.595875
575,Coffee All Day,cafe,12.97339,77.607292
576,Toscano,restaurant,12.97506,77.602857
577,Three Quarter Chinese,restaurant,12.974503,77.605464
578,Chutney Chang,restaurant,12.97378,77.602882
579,Empire,restaurant,12.975404,77.602778
580,Rotary Club,office,12.974264,77.599296
581,Matteo's Coffee,cafe,12.974351,77.607073
582,Coconut Grove,restaurant,12.975285,77.604324
583,Liftoff LLC India,office,12.973471,77.606461
584,Shezan,restaurant,12.973681,77.59871
585,High Court Canteen,restaurant,12.979048,77.593525
586,High Court Post Office,post_office,12.977239,77.591522
587,Church Street Social,restaurant,12.975762,77.602608
588,Ayda,restaurant,12.974273,77.607273
589,State Bank of India,atm,12.975798,77.604485
590,Cafe Coffee Day,cafe,12.975745,77.604615
591,Nilgiri's,shop_supermarket,12.972863,77.607439
592,Starbucks,cafe,12.974552,77.607336
593,Meghana Foods,restaurant,12.972822,77.609182
594,Citibank,atm,12.971861,77.59573
595,Smoke House Deli,restaurant,12.97151,77.598326
596,Life Insurance Corporation of India,office,12.976321,77.601949
597,Canara Bank,atm,12.979172,77.593426
598,Wenger & Watson,office,12.973744,77.60266
599,Interface,office,12.973605,77.603305
600,Abu Dhabi Commercial Bank,bank,12.975116,77.604033
601,LGCL Thinking Spaces,office,12.975127,77.603973
602,Global Retail School,office,12.97558,77.605293
603,K&J Holdings,office,12.975791,77.604311
604,State Bank of India,bank,12.975824,77.604349
605,Karnataka State Pollution Control Board,office,12.975569,77.60349
606,Canara Bank,bank,12.975421,77.604577
607,UCO Bank,bank,12.97558,77.605326
608,DTDC Couriers,office,12.975599,77.605267
609,Max Life Insurance,office,12.975073,77.606798
610,The Printers (Mysore) Pvt Ltd.,office,12.975438,77.606052
611,Cafe Coffee Day,cafe,12.975459,77.606738
612,Bheema's,restaurant,12.975186,77.603588
613,The Lake Development Authority,office,12.975565,77.603529
614,Mainland China,restaurant,12.975237,77.603421
615,Oh! Calcutta,restaurant,12.975223,77.60352
616,Hooked,restaurant,12.975558,77.603129
617,Matsya,restaurant,12.975544,77.603196
618,Bundle Company,restaurant,12.975615,77.602925
619,Binny Mills Limited Textile Division,office,12.976145,77.603005
620,Techshire Technologies Ltd,office,12.975808,77.602273
621,Union Bank of India,bank,12.976184,77.602631
622,Saint Gobain,office,12.976178,77.602656
623,ICICI Pru Life,office,12.97299,77.608281
624,Karavalli,restaurant,12.972069,77.60891
625,Udupi Park,restaurant,12.97285,77.609197
626,State Bank of India,bank,12.973052,77.608565
627,Nagarjuna,restaurant,12.97323,77.609195
628,Nitesh Infrastructure,office,12.976176,77.602894
629,Punjab National Bank,atm,12.975213,77.608645
630,The Oriental Insurance Co Ltd,office,12.974017,77.609197
631,Juki Singapore Pte Ltd,office,12.974082,77.609116
632,UNI Controls,office,12.974002,77.609109
633,Consilient Technologies Pvt Ltd.,office,12.97404,77.609032
634,Convergeon,office,12.973979,77.609135
635,Encore Software Ltd,office,12.973966,77.609047
636,Tapovan Builders,office,12.973981,77.609234
637,State Bank of India,bank,12.97413,77.60955
638,Chung Wah,restaurant,12.974067,77.609249
639,Alldigi Tech Limited,office,12.973822,77.609245
640,Donne Biryani House,restaurant,12.973298,77.609358
641,Pay and Park,parking,12.97357,77.609722
642,State Bank of India,bank,12.973131,77.608009
643,Thorogood Associates India Pvt. Ltd.,office,12.973009,77.608232
644,Verint Systems India,office,12.973126,77.608175
645,SodaBottleOpenerWala,restaurant,12.970658,77.597535
646,Dasaprakash,restaurant,12.976517,77.602975
647,Kotak Mahindra Bank,atm,12.974844,77.608354
648,SBI Mutual Fund Office,office,12.971966,77.604551
649,Chariot,restaurant,12.971891,77.606684
650,Indeed,office,12.975788,77.597343
651,Deem Software India Pvt Ltd,office,12.975829,77.597387
652,ICICI Venture,office,12.975828,77.597467
653,Home interior designs e-commerce Pvt Ltd,office,12.975746,77.597393
654,Livspace,office,12.975691,77.597461
655,Rockwell automation,office,12.975757,77.597455
656,Infor (Bangalore) Pvt Ltd,office,12.97576,77.597529
657,Allergen,office,12.97568,77.597394
658,JSA,office,12.975706,77.597338
659,Internet & Print Out Xerox,internet_cafe,12.974635,77.605504
660,Wolfish,restaurant,12.974367,77.607176
661,Wiliam Penn,shop_stationery,12.970294,77.609785
662,Citibank,atm,12.970233,77.609832
663,HSBC,atm,12.970335,77.609358
664,Nathans Vet Pharma Centre,pharmacy,12.976282,77.599102
665,Hitesh Medicals & General Stor,pharmacy,12.971362,77.606244
666,Canteen,restaurant,12.971216,77.603808
667,Moti Sales Corporation,office,12.971847,77.594394
668,Shimizu Corporte Pvt Ltd India,office,12.972843,77.599543
669,united oxygen private ltd,office,12.970291,77.605272
670,Mitsubishi Electric India Pvt Ltd,office,12.972803,77.5996
671,United Minerals,office,12.971746,77.594426
672,Cuepra Inc,office,12.970951,77.597329
673,Snack dine meet,restaurant,12.97074,77.607081
674,Shangri-la Plaza,restaurant,12.972895,77.607099
675,Driven Cafe,cafe,12.972908,77.608499
676,Federal Bank,bank,12.970794,77.600727
677,Brigade Garden,restaurant,12.97314,77.607456
678,Karnataka Silk International,office,12.974716,77.608795
679,Mahatma Gandhi Road,station,12.975526,77.60679
680,"Dr. B. R. Ambedkar Station, Vidhana Soudha",station,12.978742,77.591639
681,State Bank of India,bank,12.975383,77.603757
682,eat.fit,restaurant,12.975122,77.604007
683,Brik Oven,restaurant,12.974726,77.60532
684,Chai Point,cafe,12.974665,77.606651
685,Coast II Coast,restaurant,12.974625,77.607377
686,saatvikk,restaurant,12.974364,77.607851
687,Future Focus Infotech Pvt. Ltd.,office,12.973862,77.607683
688,United Bank of India,bank,12.97377,77.607655
689,Tea Trails,cafe,12.97293,77.607477
690,Frozen Bottle,cafe,12.972829,77.607387
691,CSB Bank,bank,12.971352,77.606545
692,ASEAN - On The Edge,restaurant,12.975465,77.605062
693,Le Bistro,restaurant,12.971878,77.596299
694,Farzi Cafe,restaurant,12.972039,77.595646
695,State Bank of India,atm,12.977466,77.591814
696,Falconaris Solutions,office,12.975907,77.602415
697,G7CR Technologies Pvt Ltd,office,12.976046,77.598771
698,Yak's Kitchen,restaurant,12.973842,77.606845
699,Mandarin Box,restaurant,12.9753,77.603196
700,Burger Seigneur,restaurant,12.975217,77.602497
701,Pākaśāla,restaurant,12.974733,77.608387
702,Cafe Azzure,cafe,12.97501,77.607473
703,India Post,post_office,12.974222,77.60994
704,Raja Ravi Varma Heritage Foundation,office,12.974236,77.598784
705,CABC'S,office,12.975131,77.597681
706,Amintri Cafe and Pastries,cafe,12.973722,77.603247
707,Nexus Venture Partners,office,12.972876,77.600353
708,Starbucks,cafe,12.97119,77.598206
709,Brassa,restaurant,12.97052,77.600639
710,Raahi Neo Kitchen and Bar,restaurant,12.973109,77.602346
711,The Takshashila Institution,office,12.975671,77.60273
712,Luckhnow Street,restaurant,12.97585,77.601898
713,Canara Bank,bank,12.970798,77.597319
714,AU Small Finance Bank,bank,12.971738,77.606402
715,Condor Carbon,office,12.971744,77.605939
716,Just BLR,cafe,12.97328,77.607258
717,Artzo,shop_stationery,12.975746,77.602259
718,State Bank of India,bank,12.975799,77.603083
719,Pure Storage India,office,12.975353,77.601911
720,Times Network,office,12.974839,77.60515
721,Third Wave Coffee Roasters,cafe,12.974683,77.606711
722,BPL Limited,office,12.974214,77.605798
723,The Pizza Bakery,restaurant,12.975247,77.604584
724,Karnataka Bank,bank,12.979692,77.605566
725,Muthoot Finance,bank,12.979584,77.605594
726,Axis Bank,bank,12.979922,77.605628
727,Canara Bank,bank,12.979509,77.60607
728,ICICI Bank,bank,12.979454,77.606211
729,Department Of Sainik Welfare and Resettlement,office,12.970844,77.60504
730,MIMS Builders,office,12.979763,77.605388
731,The Merak Brewhouse,restaurant,12.972142,77.595139
732,PVR Director's Cut,cinema,12.972654,77.606692
733,Cantan,restaurant,12.970601,77.597521
734,Kuuraku,restaurant,12.972793,77.606745
735,Sly Granny,restaurant,12.972689,77.607019
736,Dhaba - Estd 1986 Delhi,restaurant,12.97266,77.607009
737,Cafe Delhi Heights,restaurant,12.972679,77.606957
738,Foo,restaurant,12.972937,77.606404
739,Burma Burma,restaurant,12.973001,77.606137
740,Punjab Grill,restaurant,12.972957,77.606329
741,Nando's,restaurant,12.972917,77.606474
742,Forster Pharma,pharmacy,12.972088,77.60094
743,Truffles,cafe,12.971744,77.600877
744,Preqin,office,12.975444,77.59805
745,One Night in Bangkok,restaurant,12.9722,77.596346
746,Apple,office,12.971859,77.59567
747,inGO,charging_station,12.971278,77.607883
748,Misu,restaurant,12.970645,77.60066
749,No. 10 Fort Cochin,restaurant,12.970673,77.600667
750,The Konkan,restaurant,12.97593,77.601802
751,Nandhini Deluxe,restaurant,12.971816,77.600895
752,Jaisalmer,restaurant,12.971113,77.600618
753,Blini Bistro,cafe,12.975061,77.604032
754,Pride Cafe,cafe,12.973234,77.608862
755,LUPA,restaurant,12.975598,77.604579
756,O'ver Coffee,cafe,12.974959,77.599563
757,Karims,restaurant,12.972187,77.600873
758,MAP Cafe,cafe,12.974642,77.596743
759,Öz by Kebapçi,restaurant,12.971609,77.59603
760,Klava,cafe,12.972746,77.606786
761,Canopy Restaurant,restaurant,12.974458,77.609943
762,Daily Sushi,restaurant,12.975963,77.602613
763,The Caffeine Baar,cafe,12.975761,77.602407
764,Suryawanshi,restaurant,12.975504,77.601917
765,Paragon,restaurant,12.97525,77.602356
766,Chef Pillai,restaurant,12.970697,77.607135
767,Bank of Maharashtra,bank,12.971032,77.606781
768,Cumulus,restaurant,12.974485,77.596795
769,Thenga Manga,restaurant,12.970624,77.607264
770,Starbucks,cafe,12.972545,77.607352
771,Fluence,office,12.975067,77.606321
772,wegoo,office,12.975128,77.606341
773,Qube Cafe,cafe,12.974807,77.606276
774,Tadka Singh,restaurant,12.975465,77.602099
775,Shenzhen Kitchen,restaurant,12.975482,77.60202
776,The Museum by Suraj,office,12.975088,77.602921
777,IndusInd Bank,bank,12.975185,77.602822
778,Roomali,restaurant,12.975208,77.603183
779,Inventus Law,office,12.97474,77.6052
780,ZEST,restaurant,12.974726,77.59941
781,Muro,restaurant,12.97456,77.603132
782,Lime Light,cafe,12.976072,77.60261
783,Smoor,cafe,12.972872,77.600275
784,SatSure Analytics India Pvt Ltd,office,12.971205,77.607402
785,Cafe Coffee Day,cafe,12.975568,77.60516
786,3one4 Capital,office,12.975332,77.602039
787,Dishkeyaun,restaurant,12.972754,77.606849
788,Homiga,restaurant,12.972821,77.606676
789,Queen's Restaurant,restaurant,12.974731,77.606721
790,bengawalk,office,12.975618,77.602735
791,Cafe Levista,cafe,12.975148,77.606719
792,Ouro,restaurant,12.972775,77.606803
793,Third Wave Coffee Roasters,office,12.970477,77.607021
794,bychance,restaurant,12.972836,77.607539
795,Moglu,restaurant,12.975278,77.601778
796,Sozo Skyline,restaurant,12.974698,77.597054
797,The Living Room,cafe,12.973771,77.609242
798,Shiv Sagar,restaurant,12.974458,77.609512
799,Pearl Academy,prep_school,12.972608,77.60794
800,Selec Hypermart,shop_supermarket,12.972815,77.607616
801,RSP Design Consultants india Pvt. Ltd.,office,12.973518,77.602819
802,Trilegal,office,12.97391,77.60175
803,Hundredhands,office,12.973839,77.602273
